PLAYER,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,BROKEN TACKLES,TACKLES MADE,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,LINEOUTS STOLEN,YELLOW CARDS,RED CARD,TOTAL,MINUTES PLAYED,POINTS PER MINUTE
Hugo Keenan,15.0,0.0,0.0,0.0,0.0,77.80000000000001,49.0,11.0,0.0,0.0,14.0,0.0,-0.0,-0.0,166.8,313,0.5329073482428115
Sam Simmonds,0.0,0.0,0.0,0.0,0.0,50.800000000000004,42.0,51.0,0.0,7.0,7.0,0.0,-0.0,-0.0,157.8,299,0.5277591973244148
Kyle Steyn,0.0,7.0,0.0,0.0,0.0,19.8,14.0,8.0,21.0,0.0,14.0,0.0,-0.0,-0.0,83.8,160,0.5237499999999999
Romain Taofifenua,0.0,0.0,0.0,0.0,0.0,7.4,14.0,14.0,14.0,0.0,7.0,0.0,-0.0,-0.0,56.4,108,0.5222222222222223
Jac Morgan,0.0,0.0,0.0,0.0,0.0,23.6,7.0,19.0,7.0,0.0,0.0,0.0,-0.0,-0.0,56.6,109,0.5192660550458715
Taulupe Faletau,0.0,7.0,0.0,0.0,0.0,42.6,21.0,39.0,0.0,7.0,7.0,0.0,-0.0,-0.0,123.6,240,0.515
Josh van der Flier,30.0,7.0,0.0,0.0,0.0,53.400000000000006,35.0,58.0,14.0,7.0,0.0,0.0,-0.0,-0.0,204.4,400,0.511
Ellis Genge,0.0,7.0,0.0,0.0,0.0,54.800000000000004,35.0,44.0,21.0,0.0,7.0,0.0,-0.0,-0.0,168.8,331,0.5099697885196375
Jack Nowell,0.0,0.0,0.0,0.0,0.0,34.4,35.0,20.0,7.0,7.0,0.0,0.0,-0.0,-0.0,103.4,203,0.5093596059113301
Paul Willemse,15.0,0.0,0.0,0.0,0.0,16.400000000000002,7.0,47.0,42.0,14.0,0.0,7.0,-0.0,-0.0,148.4,292,0.5082191780821917
George Turner,0.0,0.0,0.0,0.0,0.0,22.0,28.0,34.0,7.0,7.0,14.0,0.0,-0.0,-0.0,112.0,222,0.5045045045045045
Nick Tompkins,15.0,0.0,0.0,0.0,0.0,28.0,21.0,39.0,14.0,7.0,7.0,0.0,-0.0,-0.0,131.0,261,0.5019157088122606
Danilo Fischetti,0.0,0.0,0.0,0.0,0.0,14.4,7.0,50.0,42.0,35.0,0.0,0.0,-0.0,-0.0,148.4,296,0.5013513513513513
Anthony Jelonch,30.0,0.0,0.0,0.0,0.0,29.6,14.0,64.0,14.0,28.0,7.0,0.0,-0.0,-0.0,186.6,373,0.5002680965147452
Jack Carty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,2,0.5
Ben Vellacott,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.0,4,0.5
Rob Herring,0.0,0.0,0.0,0.0,0.0,13.8,7.0,7.0,0.0,0.0,0.0,0.0,-0.0,-0.0,27.8,56,0.49642857142857144
Will Rowlands,0.0,0.0,0.0,0.0,0.0,43.400000000000006,0.0,49.0,7.0,28.0,7.0,28.0,-0.0,-0.0,162.4,329,0.49361702127659574
Maro Itoje,15.0,0.0,0.0,0.0,0.0,30.6,7.0,39.0,21.0,42.0,42.0,0.0,-0.0,-0.0,196.6,400,0.4915
Max Malins,0.0,14.0,0.0,0.0,0.0,58.0,49.0,22.0,14.0,0.0,0.0,0.0,-0.0,-0.0,157.0,320,0.490625
Niccolo Cannone,0.0,0.0,0.0,0.0,0.0,23.8,35.0,62.0,14.0,0.0,0.0,0.0,-0.0,-0.0,134.8,280,0.4814285714285715
Jamison Gibson-Park,30.0,28.0,0.0,0.0,0.0,38.400000000000006,42.0,11.0,0.0,0.0,7.0,0.0,-0.0,-0.0,156.4,326,0.47975460122699387
Iain Henderson,0.0,0.0,0.0,0.0,0.0,16.8,7.0,19.0,0.0,7.0,21.0,7.0,-0.0,-0.0,77.8,163,0.4773006134969325
Fraser Brown,0.0,0.0,0.0,0.0,0.0,1.6,0.0,5.0,0.0,7.0,0.0,0.0,-0.0,-0.0,13.6,29,0.4689655172413793
Francois Cros,15.0,0.0,0.0,0.0,0.0,11.200000000000001,7.0,58.0,28.0,14.0,7.0,7.0,-0.0,-0.0,147.2,316,0.46582278481012657
Ross Moriarty,0.0,7.0,0.0,0.0,0.0,25.6,14.0,35.0,14.0,0.0,0.0,0.0,-0.0,-0.0,95.6,206,0.4640776699029126
Bundee Aki,15.0,7.0,0.0,0.0,0.0,41.800000000000004,21.0,24.0,0.0,7.0,7.0,0.0,-0.0,-0.0,122.80000000000001,265,0.46339622641509437
Marco Zanon,0.0,0.0,0.0,0.0,0.0,27.6,28.0,31.0,0.0,7.0,7.0,0.0,-0.0,-0.0,100.6,219,0.45936073059360727
Sam Skinner,0.0,0.0,0.0,0.0,0.0,18.0,21.0,41.0,7.0,28.0,0.0,14.0,-0.0,-0.0,129.0,282,0.4574468085106383
Chris Harris,30.0,0.0,0.0,0.0,0.0,48.2,42.0,38.0,0.0,0.0,0.0,0.0,-0.0,-0.0,158.2,346,0.4572254335260115
Finn Russell,0.0,21.0,12.0,35.0,0.0,27.0,28.0,19.0,0.0,0.0,0.0,0.0,-5.0,-0.0,137.0,300,0.45666666666666667
Dillon Lewis,0.0,0.0,0.0,0.0,0.0,5.800000000000001,0.0,23.0,0.0,14.0,7.0,0.0,-0.0,-0.0,49.8,110,0.4527272727272727
Jamie George,30.0,0.0,0.0,0.0,0.0,19.6,7.0,36.0,14.0,14.0,0.0,7.0,-0.0,-0.0,127.6,282,0.4524822695035461
