PLAYER,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,BROKEN TACKLES,TACKLES MADE,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,LINEOUTS STOLEN,YELLOW CARDS,RED CARD,TOTAL,MINUTES PLAYED,POINTS PER MINUTE
Nick Haining,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.0,43,0.18604651162790697
WP Nel,0.0,0.0,0.0,0.0,0.0,3.6,0.0,22.0,0.0,0.0,0.0,0.0,-0.0,-0.0,25.6,144,0.17777777777777778
Uilisi Halaholo,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.0,46,0.17391304347826086
Joe Marler,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,0.0,7.0,0.0,0.0,0.0,0.0,-0.0,-0.0,11.600000000000001,69,0.16811594202898553
Andy Christie,0.0,0.0,0.0,0.0,0.0,3.2,0.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.2,37,0.16756756756756758
Stephen Varney,0.0,0.0,0.0,0.0,0.0,5.4,7.0,15.0,0.0,0.0,0.0,0.0,-0.0,-0.0,27.4,170,0.16117647058823528
Gareth Davies,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,-0.0,-0.0,11.0,89,0.12359550561797752
Joe Launchbury,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.6,14,0.1142857142857143
Jamie Blamire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1,0.0
Matthis Lebel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1,0.0
Nic Dolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,
